name,parent,size,root_12_size,root_13_size,root_14_size,root_15_size,root_16_size,root_17_size,root_18_size,root_19_size,sqrt_size,ln_size,bounded_size,scaled_size
1,,90,42.51433834863079,31.861298309291698,24.88212724760288,20.08298850246508,16.64951428545866,14.110890355479956,12.181205867665271,10.679445141305854,9.486832980505138,4.499809670330265,1.1441647597254008,0.4431847507665487
2,1,130,57.758972697193,42.27759469914887,32.35635095443732,25.66229943873142,20.951474621135226,17.518466604286253,14.942145928095504,12.959903398564553,11.40175425099138,4.867534450455582,1.2265446224256298,0.640155751107237
3,1,40,21.62967494240398,17.074729783958865,13.942111937023396,11.696070952851462,10.029689644980788,8.757663018576828,7.763066894712857,6.969304968083568,6.324555320336759,3.6888794541139363,1.0411899313501145,0.19697100034068832
4,1,20,12.139244620058346,10.018260133369534,8.497812409839364,7.368062997280773,6.503449126242364,5.825212357624259,5.281951900505004,4.838966653579623,4.47213595499958,2.995732273553991,1,0.09848550017034416
5,1,90,42.51433834863079,31.861298309291698,24.88212724760288,20.08298850246508,16.64951428545866,14.110890355479956,12.181205867665271,10.679445141305854,9.486832980505138,4.499809670330265,1.1441647597254008,0.4431847507665487
6,1,30,17.01901334924234,13.68507301937268,11.352371912704768,9.654893846056297,8.379165804519056,7.3942623558988325,6.616417768614113,5.990074713484289,5.477225575051661,3.4011973816621555,1.0205949656750573,0.14772825025551622
7,1,20,12.139244620058346,10.018260133369534,8.497812409839364,7.368062997280773,6.503449126242364,5.825212357624259,5.281951900505004,4.838966653579623,4.47213595499958,2.995732273553991,1,0.09848550017034416
8,1,210,86.13561236743655,61.13959174211583,45.57514590295944,35.33020818053945,28.273987340420472,23.22797499508243,19.50391656409727,16.68094619148996,14.491376746189438,5.3471075307174685,1.3913043478260878,1.0340977517886136
9,1,180,75.75193907475968,54.30314764788254,40.82337742777932,31.879757075478327,25.677061168818504,21.214406452261798,17.903138421217562,15.381033887600877,13.416407864998739,5.19295685089021,1.329519450800916,0.8863695015330973
10,1,200,82.70371084000277,58.88749408017713,44.01420420561975,34.19951893353393,27.42481756762073,22.57080539346032,18.982350911593702,16.25804864941426,14.142135623730951,5.298317366548036,1.3707093821510306,0.9848550017034415
11,1,100,46.4158883361278,34.55107294592218,26.826957952797258,21.544346900318832,17.78279410038923,15.013107289081734,12.91549665014884,11.28837891684689,10,4.605170185988092,1.164759725400458,0.49242750085172077
12,1,30,17.01901334924234,13.68507301937268,11.352371912704768,9.654893846056297,8.379165804519056,7.3942623558988325,6.616417768614113,5.990074713484289,5.477225575051661,3.4011973816621555,1.0205949656750573,0.14772825025551622
